id,Date,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,Price
6762827750,42491,3,2.5,2090,10834,1,0,0,4,285000
6762827836,42491,3,1.75,1800,23103,1,0,0,3,284000
6762828162,42491,3,1.5,1180,10277,1,0,0,3,275000
6762828790,42491,4,2,1480,8625,1,0,0,4,260000
6762828945,42491,3,1.75,1370,5858,1,0,0,3,257950
6762829578,42491,3,1.5,1200,9720,1,0,0,4,242500
6762829789,42491,2,1,1210,9400,1,0,0,2,235000
6762815750,42492,4,2.75,2920,6605,2,0,0,3,625000
6762817521,42492,2,1,900,5000,1,0,0,3,553000
6762823736,42492,3,2.5,1650,14054,1,0,0,4,379880
6762826674,42492,3,1,1010,9945,1,0,0,4,310000
6762813188,42493,3,2.5,2850,7130,2,0,0,3,783500
6762813282,42493,2,2.5,2680,7392,1,0,0,3,775000
6762815716,42493,4,2,2280,6010,1,0,0,3,628000
6762824246,42493,3,2.5,2200,7350,1,0,0,5,365000
6762825730,42493,4,2.5,2530,9933,2,0,2,3,331950
6762810164,42494,7,8,13540,307752,3,0,4,3,2280000
6762810615,42494,2,2.5,2220,4000,2,0,0,3,1430000
6762810636,42494,5,3.5,4010,8510,2,0,1,5,1400000
6762811248,42494,4,2.5,4340,141570,2.5,0,0,3,1090000
6762811411,42494,5,2.75,3190,16920,1,0,3,3,1030000
6762812053,42494,3,1,1330,77972,1,0,0,3,900000
6762812148,42494,4,4.25,4420,5750,2,0,0,3,890000
6762812149,42494,5,3.5,4490,6000,2,0,0,3,890000
6762812331,42494,4,3,3690,9892,2,0,0,3,865000
6762812415,42494,4,2.75,2600,5390,1,0,0,4,855000
6762812659,42494,4,3,2170,4000,2,0,0,4,831000
6762812664,42494,4,2.5,3400,9692,2,0,0,3,830000
6762812761,42494,6,1.75,2920,5000,2.5,0,0,4,823000
6762812961,42494,5,2.5,3180,13806,2,0,0,4,800866
6762812963,42494,3,2.5,3240,7857,2,0,0,3,800000
6762813152,42494,3,1.75,1330,7500,1,0,0,3,787000
6762813210,42494,4,2.5,2730,10281,2,0,2,3,780000
6762813361,42494,3,2,2350,5700,1.5,0,0,4,770000
6762813551,42494,4,2.5,2120,10202,1,0,0,4,755000
6762813766,42494,4,1.75,2010,3600,1.5,0,0,3,740000
6762813838,42494,4,2.5,3180,21904,2,0,3,3,736500
6762814206,42494,4,2.5,2450,4247,2,0,0,3,712198
6762814291,42494,3,2.5,2490,4343,2,0,0,3,705380
6762814896,42494,3,2.5,1680,2000,3,0,0,3,670000
6762814966,42494,4,2.5,2800,5900,1,0,0,3,665000
6762815131,42494,4,1,1390,4240,1,0,0,3,657100
6762815226,42494,3,1.5,2160,9000,1,0,2,4,650000
6762815643,42494,4,2.5,2440,6651,2,0,0,3,631625
6762815727,42494,4,2.25,1990,7712,1,0,0,3,627000
6762815880,42494,3,1.75,1480,2185,2.5,0,0,3,620000
6762815955,42494,3,2,1800,5000,1,0,0,4,618500
6762815987,42494,4,1.75,2300,11700,1,0,0,4,615000
6762816274,42494,3,1.75,1670,39639,1,0,0,4,600000
6762816275,42494,3,1.75,1880,6360,1,0,0,4,600000
6762816667,42494,2,1,1770,8640,1.5,0,0,3,585000
6762816779,42494,2,1,2540,7000,1,0,0,5,580000
6762817053,42494,3,2.25,2010,6000,1,0,0,3,570000
6762817314,42494,3,2.5,1900,8744,2,0,0,3,560000
6762817450,42494,3,2.5,1940,3211,2,0,0,3,555000
6762817755,42494,2,1,1140,5400,1,0,0,5,549000
6762817756,42494,4,2.5,2910,6338,2,0,0,3,549000
6762817929,42494,5,2.75,2740,8426,1,0,0,4,541125
6762818230,42494,2,3,1270,1175,2,0,0,3,531000
6762818400,42494,5,1.75,2550,71874,1,0,0,5,525888
6762818543,42494,3,1.75,1560,5520,1,0,0,4,524000
6762818924,42494,3,2.5,1790,2700,2,0,0,3,509900
6762819061,42494,4,1,2070,7519,1,0,0,3,501000
6762819262,42494,4,2.5,2910,6479,2,0,0,3,499000
6762819312,42494,6,2.75,3200,9200,1,0,2,4,497300
6762819594,42494,4,1.75,2010,9211,1,0,0,3,487585
6762819620,42494,4,3,2340,7048,1,0,0,4,485000
6762819874,42494,3,2.5,3040,4535,2,0,0,3,478000
6762820970,42494,4,2,1480,3844,1.5,0,0,5,449250
6762821445,42494,5,2,1840,9240,1,0,0,4,435000
6762822174,42494,2,2.5,1590,1426,2,0,0,3,419190
6762822204,42494,3,2,1410,6030,1.5,0,0,4,418000
6762822246,42494,3,2.5,1408,989,3,0,0,3,416286
6762822266,42494,3,2.25,1620,998,2.5,0,0,3,415000
6762822453,42494,3,2.25,1800,36704,1,0,0,4,410000
6762822604,42494,3,2.25,1410,1332,3,0,0,3,406100
6762822620,42494,2,3,1410,1240,2,0,0,3,405000
6762822792,42494,2,1.75,2110,9519,1,0,0,2,400000
6762822793,42494,2,1,840,5510,1,0,0,3,400000
6762823019,42494,3,2.5,2230,4000,2,0,0,3,398750
6762823544,42494,5,2.5,3090,12750,1,0,0,3,384900
6762823717,42494,4,1.75,1970,9389,1,0,0,5,379950
6762824223,42494,3,3,1571,10800,3,0,0,3,366750
6762825311,42494,5,1,1120,9022,1.5,0,0,4,340000
6762825312,42494,2,1.5,1160,1438,2,0,0,3,340000
6762825869,42494,2,1,1140,5250,1.5,0,0,4,329950
6762825928,42494,4,2.5,2370,6500,2,0,0,3,328000
6762826775,42494,4,2.75,2310,5000,2,0,0,3,309950
6762826776,42494,3,2.5,1880,7838,2,0,0,3,309950
6762827057,42494,3,2,1050,10072,1,0,0,3,300000
6762827694,42494,3,1,1450,6000,1,0,0,4,287000
6762829320,42494,3,2,1550,15040,1,0,0,4,249950
6762829453,42494,3,1.75,1920,9306,1,0,0,3,245000
6762829917,42494,2,1,1200,8063,1,0,0,4,232000
6762830263,42494,4,1.5,1240,9600,1,0,0,3,220000
6762830332,42494,4,1.5,1120,5427,1,0,0,3,219900
6762830530,42494,3,1,1340,306848,1,0,0,3,210000
6762830531,42494,5,2,2050,10200,1,0,0,3,210000
6762830664,42494,2,1,810,7158,1,0,0,5,206000
6762831089,42494,3,1.75,1490,10125,1,0,0,4,184000
6762810285,42495,5,4,4510,15175,2,0,0,3,1870000
6762810310,42495,5,5,4490,10279,2,0,0,3,1800000
6762810471,42495,4,3.25,3760,10920,1.5,0,0,5,1580000
6762810939,42495,4,2.25,3490,6906,2,0,0,4,1230000
6762811141,42495,4,2.75,3370,8103,1,0,3,3,1140000
6762811335,42495,3,2.5,2200,1970,2,0,0,3,1050000
6762811613,42495,3,2.5,2690,4047,3,0,0,3,979000
6762811999,42495,3,3.5,3020,4082,2,0,0,3,910000
6762812370,42495,4,2,3740,32417,2,0,0,3,860000
6762813278,42495,4,2.5,3040,6425,2,0,0,3,776000
6762813464,42495,4,2.5,3880,14550,2,0,0,3,762300
6762813840,42495,4,2.5,2290,12047,2,0,0,4,736000
6762813978,42495,4,2.5,3200,12369,2,0,0,3,725126
6762814626,42495,4,2.5,3030,7864,2,0,0,3,685000
6762814788,42495,2,1,930,36478,1,0,2,3,675000
6762815143,42495,4,3.5,3380,8330,2,0,0,3,655500
6762815227,42495,3,1.5,1630,7475,1,0,1,3,650000
6762815228,42495,5,3.5,3480,36615,2,0,0,4,650000
6762816060,42495,4,2,2060,5000,1,0,0,3,612500
6762816083,42495,4,3,2450,10117,1,0,0,5,610000
6762816134,42495,4,2.5,2150,37981,2,0,0,3,609000
6762816173,42495,4,2.5,2110,13850,2,0,0,3,606000
6762816405,42495,4,2.25,2260,29930,2,0,0,4,599000
6762816780,42495,4,3.25,3569,8327,2,0,0,3,580000
6762816917,42495,3,1.75,2130,6500,1,0,2,3,575000
6762817272,42495,4,3,3100,15480,2,0,0,3,563000
6762817288,42495,5,2.25,3040,8111,2,0,0,3,562000
6762817305,42495,3,2,2000,5500,2,0,0,3,561000
6762818108,42495,3,2.5,1850,10109,2,0,0,3,535000
6762818202,42495,5,2.75,1800,3780,1.5,0,0,3,533000
6762818237,42495,5,2.5,2910,5133,1,0,0,4,530000
6762818403,42495,3,2.5,2970,11985,1,0,0,3,525000
6762818591,42495,3,2.5,2460,54885,2,0,0,4,520000
6762818667,42495,3,1.5,1430,8000,1,0,0,4,518000
6762818718,42495,3,2.5,1790,7167,2,0,0,3,515000
6762818810,42495,4,2.5,2000,5684,2,0,0,3,513000
6762819071,42495,3,2.5,1480,1171,3,0,0,3,500000
6762819263,42495,2,1.75,1170,2400,1,0,0,4,499000
6762819584,42495,5,2,2020,5000,1.5,0,0,4,488000
6762819621,42495,3,2,1420,4080,1.5,0,0,3,485000
6762819707,42495,2,1.75,1660,6000,1,0,0,3,484000
6762819714,42495,4,2.5,2740,45732,2,0,0,3,483500
6762819923,42495,6,3,3470,117612,1.5,0,0,3,475000
6762820190,42495,2,1,1030,4400,1,0,0,3,469000
6762820263,42495,3,2.25,1970,11088,1,0,0,4,465000
6762820431,42495,2,2.25,1230,929,2,0,0,3,460000
6762820605,42495,5,2.5,2240,7770,1,0,0,3,455000
6762820766,42495,2,2,1100,3000,1.5,0,0,3,450000
6762821835,42495,4,2,1520,7983,1,0,0,5,425000
6762822588,42495,4,2.25,2810,23400,1,0,1,3,407000
6762822705,42495,4,1.75,1840,10720,1,0,0,3,404000
6762823058,42495,4,2,1440,7680,1,0,0,3,397000
6762823244,42495,3,1.75,1260,6500,1,0,0,4,390000
6762823245,42495,5,3.75,2890,5000,1,0,0,3,390000
6762823419,42495,3,1,1230,9568,1,0,0,5,387000
6762823456,42495,3,1.75,1900,5520,1,0,0,3,385000
6762823727,42495,4,1.75,1500,11600,1,0,0,4,379900
6762824138,42495,3,2,1270,1320,3,0,0,3,369950
6762824202,42495,3,1.5,1410,9647,1,0,0,3,367500
6762824247,42495,3,1.5,1310,8160,1,0,0,3,365000
6762824373,42495,3,2.25,1640,14374,1,0,0,4,362000
6762824403,42495,4,2,2680,18768,1,0,0,5,360000
6762824756,42495,3,1,1350,7740,1,0,0,4,353000
6762825130,42495,4,2.5,2331,3826,2,0,0,3,345000
6762825131,42495,3,1,1110,6250,1,0,0,3,345000
6762825904,42495,2,1,720,6687,1,0,0,3,329350
6762825992,42495,4,2.5,1890,12040,1,0,0,3,325000
6762826596,42495,3,1,1510,6083,1,0,0,4,313950
6762826630,42495,4,2,1300,7054,1,0,0,3,312000
6762827348,42495,3,2.25,1980,8000,1,0,0,4,295000
6762827837,42495,4,2.5,2000,5390,2,0,0,3,284000
6762827916,42495,3,1.75,1630,11800,1,0,0,4,280000
6762828037,42495,3,1.75,1580,8151,1,0,1,4,279900
6762828331,42495,3,2.5,1650,13816,2,0,0,3,272000
6762829190,42495,3,1,1050,6874,1,0,0,3,250000
6762829881,42495,3,1.75,1490,8366,1,0,0,4,234000
6762830340,42495,2,1,900,5160,1,0,0,3,219000
6762830360,42495,3,1.75,1850,7684,1,0,0,3,218000
6762830890,42495,3,1.75,1690,7735,1,0,0,4,197000
6762830971,42495,3,1.5,800,8850,1,0,0,4,191000
6762831182,42495,3,1,1010,7034,1,0,0,3,175000
6762831495,42495,3,1.5,1420,8580,1,0,0,3,136500
6762831616,42495,2,1,780,16344,1,0,0,1,78000
6762810052,42496,7,4.5,6210,8856,2.5,0,2,5,3200000
6762810519,42496,5,4.5,4270,8076,2,0,0,3,1530000
6762810536,42496,6,2.5,3560,6480,2.5,0,0,4,1500000
6762810736,42496,3,3,2960,5500,2,0,2,3,1340000
6762811104,42496,4,4,4460,103382,2,0,0,3,1150000
6762811190,42496,4,1.5,2310,13300,1,0,0,3,1110000
6762811389,42496,4,3.5,3900,8391,2,0,0,3,1040000
6762811814,42496,4,2.25,1890,5940,1,0,1,3,940000
6762812054,42496,5,3.75,4130,226076,2,0,0,3,900000
6762813091,42496,4,2,2210,8556,1,0,1,4,794154
6762813283,42496,3,2,2540,7200,1.5,0,3,4,775000
6762813540,42496,4,2.75,2410,9549,1,0,0,4,758000
6762813601,42496,3,2.75,2520,23790,1,0,0,4,750000
6762813688,42496,4,2.75,2600,6050,2,0,0,5,749950
6762814292,42496,4,2.5,2650,4316,1.5,0,0,3,705000
6762814540,42496,3,2,1760,6428,1,0,0,4,690000
6762814789,42496,3,1.75,1680,10500,1,0,0,4,675000
6762814790,42496,4,4,3680,18804,2,0,0,3,675000
6762815215,42496,3,2.5,3240,108366,2,0,0,4,651000
6762815462,42496,3,3,2270,5175,2,0,0,3,640000
6762815655,42496,3,2.5,2680,327135,2,0,0,3,630000
6762815656,42496,2,2.25,2550,5663,1,0,0,3,630000
6762815957,42496,3,2.5,2030,6500,2,0,0,3,618080
6762816079,42496,3,3,1680,1570,3,0,0,3,610950
6762816276,42496,3,2.5,2460,108900,1,0,0,4,600000
6762816384,42496,9,4.5,3830,6988,2.5,0,0,3,599999
6762816406,42496,3,1.75,1960,4788,1,0,0,4,599000
6762816769,42496,4,2,2510,13695,1,0,0,4,581000
6762816918,42496,4,2,1650,5000,1,0,0,3,575000
6762817146,42496,3,2,2350,5080,1.5,0,0,3,568000
6762817315,42496,3,3,4120,60392,2,0,2,3,560000
6762817316,42496,3,2,1860,13374,1,0,0,3,560000
6762817937,42496,7,5.75,3700,7647,2,0,1,3,540000
6762818109,42496,3,1.75,2720,149410,1.5,0,0,3,535000
6762818110,42496,3,2.5,2280,2289,2,0,0,3,535000
6762818238,42496,3,1,1340,4284,1,0,0,3,530000
6762818388,42496,2,2,1550,2400,1.5,0,0,4,526000
6762818648,42496,3,2.25,1170,1249,3,0,0,3,519950
6762818719,42496,3,1.75,1580,9147,1,0,1,4,515000
6762818846,42496,4,2.5,2430,5203,2,0,0,3,510000
6762819032,42496,3,2.75,1540,6760,1,0,0,5,503000
6762819072,42496,2,1,1010,3885,1.5,0,0,4,500000
6762819073,42496,3,2.5,1940,37565,1,0,0,4,500000
6762819343,42496,3,1,990,6000,1,0,0,3,495000
6762819344,42496,4,2.75,2656,21195,2,0,0,3,495000
6762819436,42496,4,2.5,3305,16164,1.5,0,0,5,492000
6762819622,42496,3,2,1610,4160,1,0,0,4,485000
6762819760,42496,4,2.5,2180,11200,1,0,0,4,480500
6762819924,42496,2,1,820,2723,1,0,0,3,475000
6762820432,42496,3,2,1760,9055,2,0,0,4,460000
6762821207,42496,3,1.75,1500,6180,1,0,0,4,440000
6762821771,42496,2,2,1350,3900,1,0,0,3,428000
6762821836,42496,2,2.5,1150,1027,3,0,0,3,425000
6762822055,42496,2,1.5,1040,3500,1.5,0,0,4,420000
6762822056,42496,3,2.25,1770,8165,2,0,0,3,420000
6762822226,42496,3,2.25,1606,1452,3,0,0,3,417250
6762822267,42496,4,3,1830,9548,2,0,0,3,415000
6762822547,42496,4,2.75,2140,13000,1,0,0,3,409500
6762822621,42496,3,2.25,1660,8307,1,0,0,4,405000
6762823625,42496,5,1.75,3000,6000,1,0,0,5,380000
6762823740,42496,2,1,1640,17335,1,0,0,3,379500
6762823823,42496,3,2.5,1830,13042,2,0,0,3,375000
6762824248,42496,5,2.75,2410,5003,1,0,0,3,365000
6762824389,42496,2,1,820,6400,1,0,0,4,361280
6762824800,42496,5,2.5,2420,8560,1,0,2,3,352000
6762824831,42496,3,1,1010,9360,1,0,0,3,350000
6762825419,42496,3,2.25,1630,12295,2,0,0,4,339950
6762825420,42496,2,1,820,681,3,0,0,3,339950
6762825551,42496,3,2,1570,7200,1,0,0,4,335000
6762826573,42496,3,1,1040,16986,1,0,0,4,314950
6762826582,42496,3,1.75,1870,12381,1,0,0,4,314500
6762826607,42496,3,1.75,2190,1716,1,0,0,4,313000
6762826675,42496,3,1.75,1840,10723,1,0,0,4,310000
6762826676,42496,3,1.75,2070,37904,1,0,0,4,310000
6762826883,42496,3,2.5,1600,3573,2,0,0,3,305450
6762827058,42496,2,1,760,3001,1,0,0,3,300000
6762827917,42496,3,2.5,1600,4271,2,0,0,3,280000
6762828163,42496,3,2.5,1600,7000,2,0,0,4,275000
6762828606,42496,5,1.5,1500,7112,1,0,0,5,265000
6762829003,42496,5,2.25,2060,8632,1,0,0,3,255000
6762829120,42496,3,1.75,1250,10122,1,0,0,3,253000
6762829191,42496,1,1,1100,4373,1,0,0,2,250000
6762829348,42496,3,1,1110,8423,1,0,0,3,249000
6762829374,42496,4,1.75,1720,10018,1,0,0,5,248500
6762829434,42496,3,1,1400,7410,1,0,0,3,246000
6762829454,42496,3,1.5,1260,1270,2,0,0,3,245000
6762829711,42496,3,2,1410,7566,1,0,0,3,239900
6762829943,42496,3,2.5,1920,9180,2,0,0,3,230000
6762830103,42496,3,1.75,1640,10762,1,0,0,3,226500
6762830601,42496,3,1.5,1380,11130,1,0,0,3,209950
6762831054,42496,4,1,1490,6600,1,0,0,3,185000
6762831337,42496,2,1,1040,13100,1,0,0,5,160000
6762831587,42496,2,1,910,22000,1,0,0,3,100000
6762810338,42497,6,3,3510,5760,2.5,0,0,4,1750000
6762810537,42497,3,1.75,2430,12757,1,0,2,4,1500000
6762810781,42497,5,3.25,2800,3200,1.5,0,0,5,1310000
6762810889,42497,4,3.25,3820,24166,2,0,1,4,1250000
6762811336,42497,4,3,2920,33976,1,0,3,5,1050000
6762811390,42497,4,1,3410,5000,2,0,0,5,1040000
6762811575,42497,3,2.75,2015,16807,2,1,4,3,988500
6762811596,42497,5,2.5,3160,11470,1,0,0,4,980000
6762811867,42497,3,3.25,2640,4080,2,0,0,3,930000
6762812323,42497,3,2.5,2920,3942,3,0,0,3,868500
6762812615,42497,4,2,1910,6960,1.5,0,0,5,835000
6762812665,42497,5,3,3040,9601,1,0,0,5,830000
6762813158,42497,3,2.75,3010,1842,2,0,0,3,785000
6762813211,42497,4,1.75,2480,9195,1,0,0,3,780000
6762813572,42497,4,2.5,2660,5500,2,0,2,3,753888
6762814111,42497,3,2.5,1690,4500,1.5,0,1,4,719000
6762814139,42497,4,2.5,3290,6465,2,0,0,3,716500
6762814207,42497,3,1,1250,4620,1.5,0,0,4,712000
6762815046,42497,3,1.75,1320,5750,1.5,0,0,5,660000
6762815378,42497,4,1.75,2060,26036,1,0,0,4,647500
6762815557,42497,2,1.75,1230,3600,1.5,0,0,5,636000
6762815988,42497,2,1,1540,6872,1,0,0,4,615000
6762816464,42497,3,2.5,1750,3354,2,0,0,4,595000
6762816607,42497,2,3,3160,66646,2,0,0,3,589900
6762817133,42497,4,2.25,2250,41688,2,0,0,3,569000
6762817390,42497,2,2,1870,4950,1,0,0,3,559950
6762817519,42497,2,2.5,1360,1349,2,0,0,3,553650
6762817818,42497,3,2.25,1780,191228,2,0,2,3,545000
6762817894,42497,6,2.25,2820,15600,1.5,0,2,5,543200
6762818056,42497,4,1.75,1840,9600,1,0,0,3,538000
6762818068,42497,4,2.5,2550,4630,2,0,0,3,537500
6762818111,42497,4,2.5,2280,65836,2,0,0,3,535000
6762818203,42497,3,1,1670,4080,1,0,0,3,533000
6762818239,42497,3,1.75,1980,6760,1,0,0,4,530000
6762818240,42497,4,2.75,2280,2850,1.5,0,0,4,530000
6762818544,42497,3,2.25,2430,73151,1,0,0,3,524000
6762818720,42497,2,1,1060,4960,1,0,0,3,515000
6762819074,42497,3,1.75,1410,1197,3,0,0,3,500000
6762819264,42497,2,1.5,1110,957,2,0,0,3,499000
6762819418,42497,3,2.5,2310,6250,2,0,0,3,494000
6762819551,42497,5,2.25,2440,20828,1.5,0,0,4,489990
6762820767,42497,3,2,1510,43560,1,0,0,3,450000
6762821186,42497,2,1.5,1020,1060,3,0,0,3,441750
6762821371,42497,2,1,980,1179,2,0,0,3,438000
6762821403,42497,3,1.75,1310,9282,1,0,0,4,437000
6762821994,42497,3,1.75,1460,7700,1,0,0,3,424500
6762822396,42497,3,2.5,1540,3200,3,0,0,3,413450
6762822622,42497,2,1,1020,8155,1,0,0,4,405000
6762822722,42497,3,2.75,2090,8354,2,0,0,3,403000
6762822747,42497,3,2.5,1960,8000,1,0,0,4,402000
6762823457,42497,3,1.75,1890,9920,1,0,0,3,385000
6762823824,42497,6,2.25,3206,5793,2,0,0,3,375000
6762824560,42497,2,1.5,960,1808,2,0,0,3,358000
6762824832,42497,4,1.75,2250,13515,1,0,0,4,350000
6762825043,42497,3,1.75,1590,9620,1,0,0,3,349000
6762825083,42497,4,2.5,2460,7350,2,0,0,3,347500
6762825552,42497,3,1.5,2240,87625,1.5,0,0,2,335000
6762825746,42497,2,2,1550,435600,1.5,0,0,2,330000
6762825986,42497,4,2.5,2320,6270,2,0,0,3,325900
6762826223,42497,2,1.25,860,1277,2,0,0,3,321950
6762826837,42497,3,1.75,1890,1716,1,0,0,5,307000
6762827311,42497,3,2,1240,10800,1,0,0,3,297950
6762827349,42497,2,1.75,2200,89298,1,0,0,3,295000
6762827350,42497,3,2.5,1920,7229,2,0,0,3,295000
6762828376,42497,4,2.5,1810,6509,2,0,0,3,270000
6762828590,42497,3,2.5,1940,8547,1,0,0,3,266000
6762828756,42497,4,2.5,2020,6236,2,0,0,3,262000
6762828791,42497,4,1.5,2130,8800,1,0,0,3,260000
6762828930,42497,4,1.75,1730,8320,1,0,0,3,258000
6762829435,42497,3,1.75,1390,7399,1,0,0,4,246000
6762829455,42497,3,1.5,1260,7964,1,0,0,4,245000
6762829790,42497,2,1,1270,3008,1,0,0,4,235000
6762829944,42497,3,1.75,950,6000,1,0,0,3,230000
6762829945,42497,3,1,1390,16000,1,0,0,4,230000
6762830053,42497,3,2.5,1190,3000,2,0,0,3,229000
6762830075,42497,4,1.75,2000,6120,1,0,0,3,228000
6762830520,42497,4,1,2100,9200,1,0,0,3,211000
6762830646,42497,3,1,1490,8995,1,0,0,4,207000
6762830682,42497,2,1,720,5040,1,0,0,3,205000
6762831507,42497,2,1.5,980,5000,2,0,0,3,134000
6762831612,42497,2,1,520,22334,1,0,0,2,82500
6762810135,42498,3,2.25,3000,11665,1.5,1,4,3,2400000
6762810176,42498,5,6.5,7270,130017,2,0,0,3,2240000
6762810365,42498,5,4.5,5190,5432,2,0,2,3,1700000
6762810697,42498,4,2.75,3720,9450,1,0,4,5,1370000
6762811086,42498,4,4.25,5860,52889,2,0,0,4,1160000
6762811582,42498,4,2.25,4230,37769,2,0,0,3,985000
6762811939,42498,4,3,3750,11025,2,0,0,3,920000
6762812447,42498,3,2.5,3560,107290,2,0,0,3,851000
6762812596,42498,4,3.5,3810,13592,1,0,1,3,839900
6762812648,42498,4,2.75,3780,10308,2,0,0,3,833000
6762812964,42498,4,3.25,3540,159430,2,0,0,3,800000
6762813195,42498,4,2.5,2830,20345,2,0,0,3,782000
6762813396,42498,4,3.5,2730,3047,2,0,0,3,769900
6762813413,42498,4,2.75,2790,10819,2,0,0,3,765000
6762813532,42498,3,2.25,2950,78843,1.5,0,0,3,759000
6762813758,42498,4,2.75,3100,3773,2,0,0,3,742500
6762814293,42498,2,2.5,2200,188200,1,0,3,3,705000
6762816084,42498,3,3,2480,45302,1,0,0,4,610000
6762816237,42498,4,2.5,2260,7753,2,0,0,3,604000
6762816548,42498,4,2.25,2430,32496,1,0,0,3,590000
6762816668,42498,4,3.25,2400,29252,2,0,0,4,585000
6762816748,42498,4,2.5,2660,4000,2,0,0,3,583000
6762816781,42498,4,2.5,2840,6268,2,0,0,3,580000
6762817174,42498,3,2.25,1660,10140,1,0,0,4,566000
6762817182,42498,4,2.25,2470,7447,2,0,0,3,565000
6762817428,42498,4,2.5,2840,4500,2,0,0,3,557000
6762817907,42498,4,2.5,2330,14289,2,0,0,4,542500
6762818086,42498,4,1.75,2000,4000,1.5,0,0,5,536500
6762818089,42498,3,1.75,1300,5413,1.5,0,0,3,536000
6762818218,42498,5,3,3480,57499,1,0,0,4,532000
6762818404,42498,3,2.5,2030,6970,2,0,0,4,525000
6762818835,42498,3,2,1400,7293,1,0,0,4,511555
6762818980,42498,3,2.5,2100,5824,2,0,2,3,505000
6762819453,42498,3,1.75,1750,11340,1,0,1,4,491300
6762819464,42498,2,1,1840,3300,1.5,0,0,4,490000
6762819748,42498,3,2,1410,4800,1,0,0,3,481450
